"","","","","","","","","代理业务件数统计表"
"","","","","","","","","","","","","","表号:集团(业)统表一"
"报告单位:","集团公司","","","","","报告期间:","2023-01-01至2023-12-31","","","","","","单位:件"
"险种来源","险种代码","险种名称","数据来源","期初","","","","","本期","","","","","","","","期末"
"","","","","保有","有效","满期","失效","失效终止","补录新增","复效","失效","满期","满期终止","解约终止","失效终止","其他终止","保有","有效","满期","失效","失效终止"
"汇总","0","总计","汇总","287113","177639","14189","171","95114","93","40","52","121","970","1018","29","785","283838","174939","13887","94","94918"
"汇总","1","总颁险种合计","汇总","124627","88532","3295","26","32774","26","33","13","119","871","609","6","709","121946","86115","3103","21","32707"
"汇总","2","地方险种合计","汇总","162486","89107","10894","145","62340","67","7","39","2","99","409","23","76","161892","88824","10784","73","62211"
"汇总","4","主险合计","汇总","287113","177639","14189","171","95114","93","40","52","121","970","1018","29","785","283838","174939","13887","94","94918"
"汇总","6","PICC1合计","汇总","287113","177639","14189","171","95114","93","40","52","121","970","1018","29","785","283838","174939","13887","94","94918"
"总颁险种","W01","简易人身保险（ 87版）","PICC1","32741","2405","3044","20","27272","0","15","7","119","817","56","5","3","31553","1463","2853","14","27223"
"总颁险种","W02","福寿安康保险","PICC1","245","0","245","0","0","0","0","0","0","0","0","0","0","245","0","245","0","0"
"总颁险种","W05","个人养老金保险（88年后）","PICC1","61168","55935","0","4","5229","18","12","5","0","20","527","1","156","60504","55286","0","5","5213"
"总颁险种","W06","个人养老金定额保险（不含意外）","PICC1","22915","22909","6","0","0","2","0","0","0","31","0","0","523","22134","22129","5","0","0"
"总颁险种","W08","养老金还本保险（试行办法）","PICC1","7558","7283","0","2","273","6","6","1","0","3","26","0","27","7510","7237","0","2","271"
"地方险种","T12","三年五年定期简易人身保险","PICC1","1795","0","1793","0","2","0","0","0","0","0","0","0","0","1795","0","1793","0","2"
"地方险种","T14","独生子女平安险","PICC1","2515","0","295","0","2220","0","0","0","0","0","2","0","0","2510","0","292","0","2218"
"地方险种","T17","老人福寿保险","PICC1","34","34","0","0","0","0","0","0","0","0","0","0","0","34","34","0","0","0"
"地方险种","T18","定期定额人身意外保险","PICC1","998","1","997","0","0","0","0","0","0","0","0","0","0","998","1","997","0","0"
"地方险种","T21","子女安康保险","PICC1","2757","0","2757","0","0","0","0","0","0","0","0","0","0","2757","0","2757","0","0"
"地方险种","T22","生育妇女平安保险","PICC1","43","1","42","0","0","0","0","0","0","0","0","0","0","43","1","42","0","0"
"地方险种","T41","子女教育婚嫁金保险","PICC1","46136","0","5003","72","41061","2","0","0","0","11","96","0","0","45924","0","4895","0","41029"
"地方险种","TA1","金婚银婚保险","PICC1","4347","4344","3","0","0","3","0","0","2","9","0","0","12","4326","4321","5","0","0"
"地方险种","Z52","个人养老金保险(地方11%)","PICC1","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"地方险种","Z54","农村养老金保险","PICC1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"地方险种","Z55","养老金附加丧葬费保险","PICC1","2520","2311","0","1","208","7","0","0","0","0","1","0","12","2515","2306","0","1","208"
"地方险种","Z56","村干部养老金(11.4)","PICC1","3","3","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0"
"地方险种","Z57","村干部养老金","PICC1","12995","12864","1","0","130","0","0","0","0","14","205","0","29","12746","12616","0","0","130"
"地方险种","Z58","双农独女户养老金","PICC1","3627","3623","2","0","2","4","0","0","0","23","10","0","7","3590","3587","2","0","1"
"地方险种","Z59","独生子女养老金保险","PICC1","16185","16185","0","0","0","1","0","0","0","0","5","0","0","16183","16183","0","0","0"
"地方险种","Z5A","独生子女父母养老金","PICC1","56854","38064","1","72","18717","47","7","39","0","42","87","23","15","56794","38098","1","72","18623"
"地方险种","Z5B","义务兵养老金保险(11.4%)","PICC1","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"地方险种","Z5C","义务兵养老金保险(8.8%)","PICC1","11644","11644","0","0","0","2","0","0","0","0","3","0","1","11640","11640","0","0","0"
"地方险种","Z81","(农民)养老金还本保险","PICC1","28","28","0","0","0","1","0","0","0","0","0","0","0","29","29","0","0","0"
