"","","","","","","","","代理业务件数统计表"
"","","","","","","","","","","","","","表号:集团(业)统表一"
"报告单位:","集团公司","","","","","报告期间:","2023-01-01至2023-12-31","","","","","","单位:件"
"险种来源","险种代码","险种名称","数据来源","期初","","","","","本期","","","","","","","","期末"
"","","","","保有","有效","满期","失效","失效终止","补录新增","复效","失效","满期","满期终止","解约终止","失效终止","其他终止","保有","有效","满期","失效","失效终止"
"汇总","0","总计","汇总","410831","285068","16877","204","108682","93","70","62","136","1378","1404","110","1081","406213","281077","16531","114","108491"
"汇总","1","总颁险种合计","汇总","245491","193272","5983","54","46182","26","59","21","134","1279","990","87","1000","241477","189572","5747","36","46122"
"汇总","2","地方险种合计","汇总","165340","91796","10894","150","62500","67","11","41","2","99","414","23","81","164736","91505","10784","78","62369"
"汇总","4","主险合计","汇总","404947","284265","16877","204","103601","93","70","62","136","1337","1404","38","1071","400378","280390","16531","114","103343"
"汇总","5","附加险合计","汇总","5884","803","0","0","5081","0","0","0","0","41","0","72","10","5835","687","0","0","5148"
"汇总","6","PICC1合计","汇总","287113","177639","14189","171","95114","93","40","52","121","970","1018","29","785","283838","174939","13887","94","94918"
"汇总","7","PICC3合计","汇总","123718","107429","2688","33","13568","0","30","10","15","408","386","81","296","122375","106138","2644","20","13573"
"总颁险种","F01","附加意外伤害保险","PICC3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"总颁险种","F02","附加意外伤害医疗保险","PICC3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"总颁险种","F05","附加残疾保险(99版)","PICC3","3","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","3"
"总颁险种","F06","附加意外伤害保险(99版)","PICC3","332","0","0","0","332","0","0","0","0","0","0","0","0","332","0","0","0","332"
"总颁险种","F07","附加意外伤害医疗保险(99版)","PICC3","3001","429","0","0","2572","0","0","0","0","23","0","36","5","2976","371","0","0","2605"
"总颁险种","F08","附加意外伤害生活津贴保险(99版)","PICC3","7","1","0","0","6","0","0","0","0","0","0","0","0","7","1","0","0","6"
"总颁险种","F09","附加住院医疗保险(99版)","PICC3","2464","364","0","0","2100","0","0","0","0","18","0","35","3","2441","308","0","0","2133"
"总颁险种","F10","附加住院医疗生活津贴保险(99版)","PICC3","74","7","0","0","67","0","0","0","0","0","0","1","0","73","5","0","0","68"
"总颁险种","FS1","附加定期保险(A型)","PICC3","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"总颁险种","FS2","附加定期保险(B型)","PICC3","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"总颁险种","S08","88鸿利终身保险(97版)","PICC3","715","659","0","0","56","0","0","0","0","0","1","0","0","713","657","0","0","56"
"总颁险种","S09","潇洒明天--增额终身人寿保险(97版)","PICC3","27961","27265","1","3","692","0","4","0","0","0","85","0","91","27770","27085","1","2","682"
"总颁险种","S10","66鸿运保险(A型)(97版)","PICC3","205","169","25","0","11","0","1","0","10","159","0","0","6","44","0","34","0","10"
"总颁险种","S11","66鸿运保险(B型)(97版)","PICC3","105","105","0","0","0","0","0","0","0","0","0","0","0","105","105","0","0","0"
"总颁险种","S12","重大疾病终身保险(97版)","PICC3","1108","1006","0","0","102","0","0","0","0","0","2","0","1","1103","1001","0","0","102"
"总颁险种","S13","重大疾病定期保险(97版)","PICC3","15","15","0","0","0","0","0","0","1","0","0","0","1","14","13","1","0","0"
"总颁险种","S14","福寿安康保险(97版)","PICC3","150","0","150","0","0","0","0","0","0","0","0","0","0","150","0","150","0","0"
"总颁险种","S15","子女教育婚嫁备用金保险(97版)","PICC3","2340","0","288","0","2052","0","0","0","0","0","16","0","0","2286","0","250","0","2036"
"总颁险种","S16","简易人身保险(97版)","PICC3","432","72","129","0","231","0","3","1","0","0","0","0","0","431","71","128","1","231"
"总颁险种","S17","独生子女两全保险","PICC3","29","0","1","0","28","0","0","0","0","0","0","0","0","29","0","1","0","28"
"总颁险种","S28","88鸿利终身保险 (98版 利差返还型)","PICC3","119","116","0","0","3","0","0","0","0","0","0","0","0","119","116","0","0","3"
"总颁险种","S29","99鸿福终身保险 (98版 利差返还型)","PICC3","2362","2260","0","1","101","0","0","0","0","0","12","0","1","2347","2247","0","0","100"
"总颁险种","S30","66鸿运A型保险 (98版 利差返还型)","PICC3","502","436","41","0","25","0","0","0","3","176","2","0","2","332","254","54","0","24"
"总颁险种","S31","66鸿运B型保险 (98版 利差返还型)","PICC3","2048","2012","0","0","36","0","0","0","0","0","2","0","5","2041","2006","0","0","35"
"总颁险种","S32","重大疾病终身保险 (98版 利差返还型)","PICC3","6284","6042","0","0","242","0","1","0","0","0","12","0","22","6245","6006","0","0","239"
"总颁险种","S33","重大疾病定期保险 (98版 利差返还型)","PICC3","702","609","21","0","72","0","0","0","1","8","2","0","7","681","589","21","0","71"
"总颁险种","S34","福寿安康A型保险(98版)","PICC3","843","0","843","0","0","0","0","0","0","0","6","0","0","843","0","843","0","0"
"总颁险种","S35","子女教育婚嫁备用金保险(98版 利差返还型)","PICC3","1914","0","268","0","1646","0","1","0","0","1","10","0","0","1876","0","241","0","1635"
"总颁险种","S36","简易人身保险(98版 利差返还型)","PICC3","458","66","95","0","297","0","1","2","0","0","1","0","1","457","64","94","2","297"
"总颁险种","S37","独生子女两全保险 (98版)","PICC3","103","0","32","0","71","0","0","0","0","0","0","0","0","103","0","32","0","71"
"总颁险种","S44","福寿安康B型保险(98版)","PICC3","790","0","790","0","0","0","0","0","0","0","3","0","0","790","0","790","0","0"
"总颁险种","SA8","88鸿利终身保险","PICC3","13","13","0","0","0","0","0","0","0","0","0","0","0","13","13","0","0","0"
"总颁险种","SA9","增额终身人寿保险(潇洒明天)","PICC3","38640","36801","2","23","1814","0","14","2","0","0","101","8","90","38432","36619","2","7","1804"
"总颁险种","SB0","66鸿运保险(A型)","PICC3","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"总颁险种","SB1","66鸿运保险(B型)","PICC3","59","59","0","0","0","0","0","0","0","0","0","0","0","59","59","0","0","0"
"总颁险种","SB2","重大疾病终身保险","PICC3","642","604","0","0","38","0","0","0","0","0","1","0","2","638","600","0","0","38"
"总颁险种","SB3","重大疾病定期保险","PICC3","9","9","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0"
"总颁险种","W01","简易人身保险（ 87版）","PICC1","32741","2405","3044","20","27272","0","15","7","119","817","56","5","3","31553","1463","2853","14","27223"
"总颁险种","W02","福寿安康保险","PICC1","245","0","245","0","0","0","0","0","0","0","0","0","0","245","0","245","0","0"
"总颁险种","W05","个人养老金保险（88年后）","PICC1","61168","55935","0","4","5229","18","12","5","0","20","527","1","156","60504","55286","0","5","5213"
"总颁险种","W06","个人养老金定额保险（不含意外）","PICC1","22915","22909","6","0","0","2","0","0","0","31","0","0","523","22134","22129","5","0","0"
"总颁险种","W08","养老金还本保险（试行办法）","PICC1","7558","7283","0","2","273","6","6","1","0","3","26","0","27","7510","7237","0","2","271"
"总颁险种","Y05","鸿寿养老金保险(97版)","PICC3","4452","4308","0","0","144","0","0","0","0","0","4","0","16","4431","4288","0","0","143"
"总颁险种","Y06","个人养老金保险(97版)","PICC3","2147","2075","0","0","72","0","0","1","0","7","16","0","3","2121","2048","0","1","72"
"总颁险种","Y07","养老金还本保险(97版)","PICC3","1277","1244","0","0","33","0","1","2","0","0","0","0","6","1270","1235","0","2","33"
"总颁险种","Y08","团体福利保险(97版)","PICC3","33","33","0","0","0","0","0","0","0","0","0","0","0","33","33","0","0","0"
"总颁险种","Y09","鸿寿养老金保险 (98版  利差返还型)","PICC3","5996","5804","0","0","192","0","0","0","0","0","5","0","15","5974","5784","0","0","190"
