"","","","","","","","","代理业务收支统计表"
"","","","","","","","","","","","","","表号:集团(业)统表二"
"报告单位:","集团公司","","","","","报告期间:","2023-01-01至2023-12-31","","","","件数单位：件","金额单位：元"
"险种来源","险种代码","险种名称","数据来源","保费收入","","赔款支出","","死亡/伤残/医疗给付","","满期给付","","年金给付","","解约给付"
"","","","","本期件数","本期金额","本期件数","本期金额","本期件数","本期金额","本期件数","本期金额","本期件数","本期金额","本期件数","本期金额"
"汇总","0","总计","汇总","19675","1800176.3399999994","0","0","426","11823370.209999999","1130","5850768.67","398874","105470057.81999929","629","7214089.500000002"
"汇总","1","总颁险种合计","汇总","17955","1655626.8599999994","0","0","391","11597296.979999999","1113","5806984","302121","87361330.2199994","456","6648403.190000001"
"汇总","2","地方险种合计","汇总","1720","144549.47999999998","0","0","35","226073.23","17","43784.67","96753","18108727.599999893","173","565686.31"
"汇总","4","主险合计","汇总","18981","1730134.6999999993","0","0","426","11823370.209999999","1130","5850768.67","398874","105470057.81999929","626","7214004.210000001"
"汇总","5","附加险合计","汇总","694","70041.64","0","0","0","0","0","0","0","0","3","85.29"
"汇总","6","PICC1合计","汇总","60405","5892174.0699999975","0","0","1597","46649824.43999999","3398","17641063.009999998","1250794","358588776.5299978","2259","28462018.12"
"汇总","7","PICC3合计","汇总","137725","12601234.379999995","0","0","2982","82763591.46999998","7910","40955380.69","2792118","738290404.739995","4403","50498626.5"
"汇总","8","自有系统合计","汇总","276830","25694113.809999987","0","0","6283","176706896.74999997","15828","81999518.38","5638408","1518759412.54999","9178","107817002.62"
"汇总","9","手工管理合计","汇总","553660","51388227.619999975","0","0","12566","353413793.49999994","31656","163999036.76","11276816","3037518825.09998","18356","215634005.24"
"总颁险种","F07","附加意外伤害医疗保险(99版)","PICC3","374","14371.53","0","0","0","0","0","0","0","0","2","5.29"
"总颁险种","F08","附加意外伤害生活津贴保险(99版)","PICC3","1","20.8","0","0","0","0","0","0","0","0","0","0"
"总颁险种","F09","附加住院医疗保险(99版)","PICC3","314","53624.310000000005","0","0","0","0","0","0","0","0","1","80"
"总颁险种","F10","附加住院医疗生活津贴保险(99版)","PICC3","5","2025","0","0","0","0","0","0","0","0","0","0"
"总颁险种","S08","88鸿利终身保险(97版)","PICC3","0","0","0","0","1","30000","0","0","0","0","1","4166.4"
"总颁险种","S09","潇洒明天--增额终身人寿保险(97版)","PICC3","4","4130","0","0","78","3445000.01","0","0","18","23000","114","1710668.3999999994"
"总颁险种","S10","66鸿运保险(A型)(97版)","PICC3","1","770","0","0","0","0","0","0","0","0","0","0"
"总颁险种","S12","重大疾病终身保险(97版)","PICC3","0","0","0","0","12","800000","0","0","0","0","3","56882.600000000006"
"总颁险种","S13","重大疾病定期保险(97版)","PICC3","0","0","0","0","1","50000","0","0","0","0","0","0"
"总颁险种","S15","子女教育婚嫁备用金保险(97版)","PICC3","0","0","0","0","0","0","0","0","0","0","16","9951.300000000001"
"总颁险种","S16","简易人身保险(97版)","PICC3","55","14500","0","0","0","0","1","5500","0","0","0","0"
"总颁险种","S29","99鸿福终身保险 (98版 利差返还型)","PICC3","0","0","0","0","7","119000","0","0","0","0","13","453405.3"
"总颁险种","S30","66鸿运A型保险 (98版 利差返还型)","PICC3","0","0","0","0","0","0","0","0","0","0","4","107445"
"总颁险种","S31","66鸿运B型保险 (98版 利差返还型)","PICC3","0","0","0","0","1","41360","0","0","0","0","6","131269"
"总颁险种","S32","重大疾病终身保险 (98版 利差返还型)","PICC3","1","6340","0","0","87","3160000","0","0","0","0","12","216964.10000000003"
"总颁险种","S33","重大疾病定期保险 (98版 利差返还型)","PICC3","0","0","0","0","12","410000","6","54097","0","0","2","46519"
"总颁险种","S35","子女教育婚嫁备用金保险(98版 利差返还型)","PICC3","1","50","0","0","0","0","0","0","0","0","10","5116.720000000001"
"总颁险种","S36","简易人身保险(98版 利差返还型)","PICC3","61","14300","0","0","0","0","1","29160","0","0","0","0"
"总颁险种","SA9","增额终身人寿保险(潇洒明天)","PICC3","7","22258.6","0","0","73","2349500","0","0","1","2000","148","2143836.7000000007"
"总颁险种","SB2","重大疾病终身保险","PICC3","0","0","0","0","5","160000","0","0","0","0","1","14328.9"
"总颁险种","W01","简易人身保险（ 87版）","PICC1","12499","163803.5","0","0","6","36192","1105","5718227","0","0","61","60790.58000000001"
"总颁险种","W05","个人养老金保险（88年后）","PICC1","3768","492175.3099999994","0","0","0","0","0","0","225108","37292809.14999966","26","110614.26"
"总颁险种","W06","个人养老金定额保险（不含意外）","PICC1","0","0","0","0","0","0","0","0","927","1549753.13","0","0"
